Cohort,Species,Mark,Date,Year,Month,Sector,Run,Length,Weight,Age,Sex,adc,Tag_loss,Adip,Remark,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor,Stream,Pop,Pop_ind
C08,MT,11815,9/22/2010,2010,9,1,1,145,29,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11815,LIdri,LIdri_MT,3
C08,MT,11815,6/20/2011,2011,6,1,1,159,40,3,NA,NA,NA,NA,NA,2008,2008,C08,3,11815,LIdri,LIdri_MT,3
C08,MT,11815,9/12/2011,2011,9,1,2,164,50,3,NA,NA,NA,NA,NA,2008,2008,C08,3,11815,LIdri,LIdri_MT,3
C08,MT,11820,6/14/2010,2010,6,1,1,166,46,2,NA,1,NA,NA,NA,2008,2008,C08,2,11820,LIdri,LIdri_MT,3
C08,MT,11820,9/22/2010,2010,9,1,1,181,63,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11820,LIdri,LIdri_MT,3
C08,MT,11820,6/20/2011,2011,6,1,1,208,90,3,NA,NA,NA,24,NA,2008,2008,C08,3,11820,LIdri,LIdri_MT,3
C08,MT,11820,9/12/2011,2011,9,1,2,223,115,3,NA,NA,NA,NA,NA,2008,2008,C08,3,11820,LIdri,LIdri_MT,3
C08,MT,13492,6/19/2012,2012,6,1,1,239,141.3,4,NA,1,1,42,NA,2008,2008,C08,4,11820,LIdri,LIdri_MT,3
C08,MT,13492,9/10/2012,2012,9,1,1,250,162.8,4,NA,NA,NA,NA,NA,2008,2008,C08,4,11820,LIdri,LIdri_MT,3
C08,MT,11821,6/14/2010,2010,6,1,1,139,30,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11821,LIdri,LIdri_MT,3
C08,MT,11821,9/22/2010,2010,9,1,1,156,44,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11821,LIdri,LIdri_MT,3
C08,MT,11821,6/20/2011,2011,6,1,1,183,69,3,NA,NA,NA,1,NA,2008,2008,C08,3,11821,LIdri,LIdri_MT,3
C08,MT,11821,9/12/2011,2011,9,1,1,203,92,3,NA,NA,NA,NA,NA,2008,2008,C08,3,11821,LIdri,LIdri_MT,3
C08,MT,11821,6/19/2012,2012,6,1,1,215,122.8,4,NA,NA,NA,7,NA,2008,2008,C08,4,11821,LIdri,LIdri_MT,3
C09,MT,16197,6/20/2013,2013,6,1,1,237,139.4,4,NA,NA,NA,NA,NA,2009,2008,C08,5,11821,LIdri,LIdri_MT,3
C09,MT,16197,9/16/2013,2013,9,1,1,244,164.5,4,NA,NA,NA,10663187,NA,2009,2008,C08,5,11821,LIdri,LIdri_MT,3
C09,MT,16197,6/19/2014,2014,6,1,1,251,176,5,NA,NA,NA,3192,NA,2009,2008,C08,6,11821,LIdri,LIdri_MT,3
C09,MT,16197,9/3/2014,2014,9,1,1,262,220.3,5,NA,NA,NA,3219,NA,2009,2008,C08,6,11821,LIdri,LIdri_MT,3
C08,MT,11826,6/14/2010,2010,6,1,1,125,22,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11826,LIdri,LIdri_MT,3
C08,MT,11826,6/20/2011,2011,6,1,1,150,36,3,NA,NA,NA,30,NA,2008,2008,C08,3,11826,LIdri,LIdri_MT,3
C08,MT,11826,9/12/2011,2011,9,1,1,168,56,3,NA,NA,NA,NA,NA,2008,2008,C08,3,11826,LIdri,LIdri_MT,3
C08,MT,NA,6/15/2009,2009,6,1,2,82,5,1,NA,1,NA,R562,NA,2008,2008,C08,1,11828,LIdri,LIdri_MT,3
C08,MT,11828,6/14/2010,2010,6,1,1,123,17,2,NA,1,NA,NA,NA,2008,2008,C08,2,11828,LIdri,LIdri_MT,3
C08,MT,11828,9/22/2010,2010,9,1,1,134,22,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11828,LIdri,LIdri_MT,3
C09,MT,17288,6/20/2011,2011,6,1,1,151,35,2,NA,1,1,31,NA,2009,2008,C08,3,11828,LIdri,LIdri_MT,3
C08,MT,NA,9/7/2009,2009,9,1,1,108,12,1,NA,NA,NA,R609,NA,2008,2008,C08,1,11832,LIdri,LIdri_MT,3
C08,MT,11832,6/14/2010,2010,6,1,1,132,22,2,NA,1,NA,NA,NA,2008,2008,C08,2,11832,LIdri,LIdri_MT,3
C08,MT,11832,9/22/2010,2010,9,1,1,145,27,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11832,LIdri,LIdri_MT,3
C08,MT,NA,6/15/2009,2009,6,1,2,93,8,1,NA,NA,NA,R566,NA,2008,2008,C08,1,11837,LIdri,LIdri_MT,3
C08,MT,11837,6/14/2010,2010,6,1,1,123,17,2,NA,1,NA,NA,NA,2008,2008,C08,2,11837,LIdri,LIdri_MT,3
C08,MT,NA,6/15/2009,2009,6,1,1,112,13.6,1,NA,NA,NA,R535,NA,2008,2008,C08,1,11840,LIdri,LIdri_MT,3
C08,MT,11840,6/14/2010,2010,6,1,2,155,36,2,NA,1,NA,NA,NA,2008,2008,C08,2,11840,LIdri,LIdri_MT,3
C08,MT,11840,9/22/2010,2010,9,1,1,170,52,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11840,LIdri,LIdri_MT,3
C08,MT,11841,6/14/2010,2010,6,1,2,157,38,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11841,LIdri,LIdri_MT,3
C08,MT,NA,6/15/2009,2009,6,1,1,110,12.3,1,NA,1,NA,R554,NA,2008,2008,C08,1,11842,LIdri,LIdri_MT,3
C08,MT,11842,6/14/2010,2010,6,1,1,156,40,2,NA,1,NA,NA,NA,2008,2008,C08,2,11842,LIdri,LIdri_MT,3
C08,MT,11842,9/22/2010,2010,9,1,1,165,40,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11842,LIdri,LIdri_MT,3
C08,MT,11842,6/20/2011,2011,6,1,1,184,63,3,NA,NA,NA,19,NA,2008,2008,C08,3,11842,LIdri,LIdri_MT,3
C08,MT,11842,9/12/2011,2011,9,1,2,195,79,3,NA,NA,NA,NA,NA,2008,2008,C08,3,11842,LIdri,LIdri_MT,3
C08,MT,NA,6/15/2009,2009,6,1,1,82,6.5,1,NA,NA,NA,R493,NA,2008,2008,C08,1,11844,LIdri,LIdri_MT,3
C08,MT,NA,9/7/2009,2009,9,1,1,112,14,1,NA,1,NA,R605,NA,2008,2008,C08,1,11844,LIdri,LIdri_MT,3
C08,MT,11844,6/14/2010,2010,6,1,1,131,23,2,NA,1,NA,NA,NA,2008,2008,C08,2,11844,LIdri,LIdri_MT,3
C08,MT,11844,9/22/2010,2010,9,1,2,142,27,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11844,LIdri,LIdri_MT,3
C08,MT,NA,6/15/2009,2009,6,1,1,100,9.2,1,NA,NA,NA,R532,NA,2008,2008,C08,1,11848,LIdri,LIdri_MT,3
C08,MT,11848,6/14/2010,2010,6,1,1,137,26,2,NA,1,NA,NA,NA,2008,2008,C08,2,11848,LIdri,LIdri_MT,3
C08,MT,11856,6/14/2010,2010,6,1,1,143,30,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11856,LIdri,LIdri_MT,3
C08,MT,NA,6/15/2009,2009,6,1,1,93,7.4,1,NA,NA,NA,R486,NA,2008,2008,C08,1,11863,LIdri,LIdri_MT,3
C08,MT,11863,6/14/2010,2010,6,1,2,140,26,2,NA,1,NA,NA,NA,2008,2008,C08,2,11863,LIdri,LIdri_MT,3
C08,MT,11868,6/14/2010,2010,6,1,1,162,47,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11868,LIdri,LIdri_MT,3
C08,MT,11869,6/14/2010,2010,6,1,1,146,31,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11869,LIdri,LIdri_MT,3
C08,MT,11869,6/20/2011,2011,6,1,2,191,72,3,NA,NA,NA,42,NA,2008,2008,C08,3,11869,LIdri,LIdri_MT,3
C08,MT,11869,9/12/2011,2011,9,1,1,202,84,3,NA,NA,NA,NA,NA,2008,2008,C08,3,11869,LIdri,LIdri_MT,3
C08,MT,11869,9/10/2012,2012,9,1,1,212,87.8,4,NA,NA,NA,NA,NA,2008,2008,C08,4,11869,LIdri,LIdri_MT,3
C10,MT,16364,9/16/2013,2013,9,1,1,228,123.5,3,NA,NA,NA,1122,NA,2010,2008,C08,5,11869,LIdri,LIdri_MT,3
C10,MT,16364,6/19/2014,2014,6,1,1,240,139.1,4,NA,NA,NA,NA,NA,2010,2008,C08,6,11869,LIdri,LIdri_MT,3
