Num,Mark,Date,Month,Year,Run,Sector,Length,Weight,Age,Cohort,Sex,adc,Tag_loss,Adip,Comment,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor
742,NA,9/18/13,9,2013,1,1,71,3.2,0,C13,NA,NA,NA,1360,NA,2013,2013,C13,0,1360
NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,C12,NA,NA,NA,T_092012_008,NA,2012,2012,C12,0,13601
810,13601,9/18/13,9,2013,2,1,129,19.5,1,C12,NA,1,NA,NA,NA,2012,2012,C12,1,13601
809,13602,9/18/13,9,2013,2,1,143,28.7,2,C11,NA,NA,NA,NA,NA,2011,2011,C11,2,13602
852,13602,9/2/14,9,2014,1,1,184,62.4,3,C11,NA,NA,NA,NA,NA,2011,2011,C11,3,13602
NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,C12,NA,NA,NA,T_092012_006,NA,2012,2011,C11,1,13604
808,13604,9/18/13,9,2013,2,1,145,30.1,2,C11,NA,1,NA,NA,NA,2011,2011,C11,2,13604
877,13604,9/2/14,9,2014,1,1,181,61.5,3,C11,NA,NA,NA,NA,NA,2011,2011,C11,3,13604
805,13606,9/18/13,9,2013,2,1,174,54.7,2,C11,NA,NA,NA,NA,NA,2011,2011,C11,2,13606
838,13606,9/2/14,9,2014,1,1,204,80.6,3,C11,NA,NA,NA,NA,NA,2011,2011,C11,3,13606
743,NA,9/18/13,9,2013,1,1,64,2.6,0,C13,NA,NA,NA,1361,NA,2013,2013,C13,0,1361
744,NA,9/18/13,9,2013,1,1,56,1.6,0,C13,NA,NA,NA,1362,NA,2013,2013,C13,0,1362
745,NA,9/18/13,9,2013,1,1,64,2.6,0,C13,NA,NA,NA,1363,NA,2013,2013,C13,0,1363
746,NA,9/18/13,9,2013,1,1,60,2.3,0,C13,NA,NA,NA,1364,NA,2013,2013,C13,0,1364
747,NA,9/18/13,9,2013,1,1,64,2.5,0,C13,NA,NA,NA,1365,dead,2013,2013,C13,0,1365
748,16419,9/18/13,9,2013,1,1,281,212.8,5,C08,NA,NA,NA,1366,NA,2008,2008,C08,5,1366
749,16956,9/18/13,9,2013,1,1,294,267.1,6,C07,NA,NA,NA,1367,NA,2007,2007,C07,6,1367
750,16513,9/18/13,9,2013,1,1,142,25.7,2,C11,NA,1,NA,1368,NA,2011,2011,C11,2,1368
751,2617,9/18/13,9,2013,1,1,194,69,2,C11,NA,NA,NA,1369,NA,2011,2011,C11,2,1369
752,16544,9/18/13,9,2013,1,1,160,37.7,2,C11,NA,NA,NA,1370,NA,2011,2011,C11,2,1370
753,12932,9/18/13,9,2013,1,1,239,129,8,C05,NA,NA,NA,1371,NA,2005,2005,C05,8,1371
754,16361,9/18/13,9,2013,1,1,152,32.3,2,C11,NA,NA,NA,1372,NA,2011,2011,C11,2,1372
755,2524,9/18/13,9,2013,1,1,227,119.2,5,C08,NA,NA,NA,1373,NA,2008,2008,C08,5,1373
756,16305,9/18/13,9,2013,1,1,187,63.7,3,C10,NA,NA,NA,1374,NA,2010,2010,C10,3,1374
757,2533,9/18/13,9,2013,1,1,162,38.5,2,C11,NA,NA,NA,1375,NA,2011,2011,C11,2,1375
758,16449,9/18/13,9,2013,1,1,263,173.6,6,C07,NA,1,1,1376,NA,2007,2006,C06,7,1376
759,2532,9/18/13,9,2013,1,1,254,160.7,6,C07,NA,NA,NA,1377,NA,2007,2005,C05,8,1377
760,16442,9/18/13,9,2013,1,1,187,65.7,3,C10,NA,NA,NA,1378,NA,2010,2010,C10,3,1378
761,2605,9/18/13,9,2013,1,1,167,46.1,2,C11,NA,NA,NA,1379,NA,2011,2011,C11,2,1379
762,16452,9/18/13,9,2013,1,1,181,54.5,2,C11,NA,NA,NA,1380,NA,2011,2011,C11,2,1380
763,17083,9/18/13,9,2013,1,1,216,96.5,3,C10,NA,NA,NA,1381,NA,2010,2010,C10,3,1381
764,16436,9/18/13,9,2013,1,1,137,24,1,C12,NA,1,NA,1382,NA,2012,2012,C12,1,1382
765,2551,9/18/13,9,2013,1,1,157,33.9,2,C11,NA,NA,NA,1383,NA,2011,2011,C11,2,1383
766,16476,9/18/13,9,2013,1,1,170,49.1,2,C11,NA,1,NA,1384,NA,2011,2011,C11,2,1384
767,17094,9/18/13,9,2013,1,1,202,76.9,3,C10,NA,NA,NA,1385,NA,2010,2010,C10,3,1385
768,16473,9/18/13,9,2013,1,1,202,81.6,3,C10,NA,1,1,1386,NA,2010,2011,C11,2,1386
769,16968,9/18/13,9,2013,1,1,214,96.4,4,C09,NA,NA,NA,1387,NA,2009,2009,C09,4,1387
770,16499,9/18/13,9,2013,1,1,279,216.2,5,C08,NA,1,1,1388,NA,2008,2007,C07,6,1388
771,2581,9/18/13,9,2013,1,1,180,53.1,2,C11,NA,NA,NA,1389,NA,2011,2011,C11,2,1389
772,16490,9/18/13,9,2013,1,1,132,22.3,1,C12,NA,NA,NA,1390,NA,2012,2012,C12,1,1390
773,2626,9/18/13,9,2013,1,1,195,72,2,C11,NA,NA,NA,1391,NA,2011,2011,C11,2,1391
774,16402,9/18/13,9,2013,1,1,163,40.5,2,C11,NA,1,NA,1392,NA,2011,2011,C11,2,1392
775,2530,9/18/13,9,2013,1,1,165,42.7,2,C11,NA,NA,NA,1393,NA,2011,2011,C11,2,1393
776,16485,9/18/13,9,2013,1,1,130,20.7,1,C12,NA,NA,NA,1394,NA,2012,2012,C12,1,1394
777,2639,9/18/13,9,2013,1,1,180,55,2,C11,NA,NA,NA,1395,NA,2011,2011,C11,2,1395
778,16451,9/18/13,9,2013,1,1,121,16.3,1,C12,NA,NA,NA,1396,NA,2012,2012,C12,1,1396
779,17084,9/18/13,9,2013,1,1,194,69,3,C10,NA,NA,NA,1397,NA,2010,2010,C10,3,1397
780,16475,9/18/13,9,2013,1,1,155,34.4,2,C11,NA,1,NA,1398,NA,2011,2011,C11,2,1398
781,2610,9/18/13,9,2013,1,1,182,58.2,2,C11,NA,NA,NA,1399,NA,2011,2011,C11,2,1399
782,16487,9/18/13,9,2013,1,1,122,17.3,1,C12,NA,NA,NA,1400,NA,2012,2012,C12,1,1400
783,2654,9/18/13,9,2013,1,1,182,56.8,2,C11,NA,NA,NA,1401,NA,2011,2011,C11,2,1401
784,16497,9/18/13,9,2013,1,1,117,14.8,1,C12,NA,NA,NA,1402,NA,2012,2012,C12,1,1402
785,16954,9/18/13,9,2013,1,1,227,81.1,6,C07,NA,NA,NA,1403snake,NA,2007,2007,C07,6,1403snake
786,16491,9/18/13,9,2013,1,1,119,15.3,1,C12,NA,NA,NA,1404,NA,2012,2012,C12,1,1404
787,16948,9/18/13,9,2013,1,1,223,111.5,5,C08,NA,NA,NA,1405,NA,2008,2008,C08,5,1405
788,16518,9/18/13,9,2013,1,1,117,14.3,1,C12,NA,NA,NA,1406,NA,2012,2012,C12,1,1406
