Num,Mark,Date,Year,Month,Run,Sector,Length,Weight,Age,Cohort,Sex,adc,Tag_loss,Adip,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor
79,12134,9/14/06,2006,9,2,2,139,25.6,1,C05,NA,NA,NA,NA,2005,2005,C05,1,12134
364,12135,9/14/06,2006,9,1,1,158,37.6,2,C04,NA,1,NA,NA,2004,2004,C04,2,12135
45,12958,9/14/06,2006,9,1,2,158,37.6,2,C04,NA,1,NA,NA,2004,2004,C04,2,12135
114,12958,9/12/07,2007,9,1,2,208,76.4,3,C04,NA,NA,NA,NA,2004,2004,C04,3,12135
167,12958,9/18/08,2008,9,1,2,292,225.2,4,C04,NA,NA,NA,NA,2004,2004,C04,4,12135
73,12136,9/14/06,2006,9,2,2,172,48.3,2,C04,NA,1,NA,NA,2004,2004,C04,2,12136
66,12137,9/14/06,2006,9,1,2,156,33.6,2,C04,NA,NA,NA,NA,2004,2004,C04,2,12137
54,12138,9/14/06,2006,9,1,2,247,134,4,C02,NA,1,NA,NA,2002,2002,C02,4,12138
112,12138,9/12/07,2007,9,1,2,272,170,5,C02,NA,NA,NA,NA,2002,2002,C02,5,12138
59,12139,9/14/06,2006,9,1,2,132,21.7,1,C05,NA,NA,NA,NA,2005,2005,C05,1,12139
149,12139,9/12/07,2007,9,2,2,171,43.8,2,C05,NA,NA,NA,NA,2005,2005,C05,2,12139
170,12139,9/18/08,2008,9,1,2,276,198.5,3,C05,NA,NA,NA,NA,2005,2005,C05,3,12139
19,12140,9/14/06,2006,9,1,2,158,37.2,1,C05,NA,NA,NA,NA,2005,2005,C05,1,12140
86,12140,9/12/07,2007,9,1,2,207,79.8,2,C05,NA,NA,NA,NA,2005,2005,C05,2,12140
163,12140,9/18/08,2008,9,1,2,265,186.4,3,C05,NA,NA,NA,NA,2005,2005,C05,3,12140
23,12141,9/14/06,2006,9,1,2,166,44.8,2,C04,NA,1,NA,NA,2004,2004,C04,2,12141
18,12142,9/14/06,2006,9,1,2,317,280.3,7,C99,NA,1,NA,NA,1999,1999,C99,7,12142
74,12143,9/14/06,2006,9,2,2,134,21.6,1,C05,NA,NA,NA,NA,2005,2005,C05,1,12143
40,12144,9/14/06,2006,9,1,2,278,195.8,5,C01,NA,1,NA,NA,2001,2001,C01,5,12144
58,12145,9/14/06,2006,9,1,2,160,40.8,2,C04,NA,NA,NA,NA,2004,2004,C04,2,12145
22,12146,9/14/06,2006,9,1,2,153,33.4,2,C04,NA,1,NA,NA,2004,2004,C04,2,12146
89,12146,9/12/07,2007,9,1,2,219,89.1,3,C04,NA,NA,NA,NA,2004,2004,C04,3,12146
21,12147,9/14/06,2006,9,1,2,230,110,4,C02,NA,NA,NA,NA,2002,2002,C02,4,12147
49,12148,9/14/06,2006,9,1,2,149,30.8,2,C04,NA,1,NA,NA,2004,2004,C04,2,12148
8,12149,9/14/06,2006,9,1,2,153,28,1,C05,NA,NA,NA,NA,2005,2005,C05,1,12149
